NDVI_mean,NDVI_amp,NDVI_phase,NDBI_mean,NDBI_amp,NDBI_phase,MNDWI_mean,MNDWI_amp,MNDWI_phase,lc,random_split
0.6904112771659066,0.14634872638449103,1.6066459071512142,-0.25160066937323317,0.13414466682264475,-1.6031353437564533,-0.5001225407427196,0.07892030476514046,-1.1213851181347516,0,0.9995087891102494
0.33288342935095117,0.03177101415053019,1.5655939250356534,0.02974494456538499,0.037450886829900554,2.5215997691368064,-0.3727219597263314,0.05037506371378956,-0.796752859552284,0,0.9994422472989775
0.570018292071623,0.12124354991216449,1.9727019004523472,-0.18828487562554028,0.13095725854572104,-1.528547409691101,-0.4365011879184034,0.07009689588361213,0.2867881762215401,0,0.999440260266369
0.25522893996338963,0.043274536608534364,-2.221085634572484,-0.15731793512752631,0.3179849249039639,-1.913146875670278,-0.16979068406661277,0.3880391450989376,1.1659146952954487,0,0.9990891848104804
0.6198556124771892,0.1514209879802615,1.2290039967632882,-0.2222763180049024,0.13689658579216893,-2.110813559381447,-0.4773216972749737,0.0628111157608545,-1.3209134033731036,0,0.9990702788828256
0.40123358553826244,0.0779660818214772,-2.996605677460349,-0.21244739377114447,0.3073868940455673,-1.7689676168005288,-0.2138881343342458,0.38417779204711916,1.1393961687135084,0,0.9990541449894008
0.10754762808932762,0.026395198960016256,1.1405845395997725,-0.03989118595358004,0.08949000822828578,-1.6825625280838934,-0.10370507621478467,0.07062586219557528,1.6081405265385869,0,0.998993305701375
0.6442715298209315,0.05064414831483307,2.1925825418025977,-0.22285604408871915,0.06431911758404604,-1.5682116183884007,-0.4642201222970467,0.05669294321306171,0.035823071536881294,0,0.9988152513203533
0.5372776594899414,0.04523213444638555,-0.6599877390805539,-0.2558496546246014,0.024779908778702307,-2.350520884352292,-0.34165134564663224,0.0370802981743633,1.8955971714153115,0,0.9988036008537869
0.7296215150515476,0.04597286858283248,2.6668872626876183,-0.3030981176110082,0.021384193517468595,-0.3398554359746444,-0.49355013663266695,0.0653926697528947,-0.9795236729708021,0,0.998778544441809
0.71555612948489,0.06969906572147813,0.6526420149280154,-0.2108325475319784,0.07477057977038493,-2.2837855142269623,-0.5593598697772969,0.013592469850230621,-1.3896149848490185,0,0.9987651850350976
0.6436060259652345,0.06662246599617491,-0.4953646004105068,-0.19095741127755467,0.07443069320163091,2.939572211914728,-0.5167643552018643,0.022669704819099655,0.5141150274330025,0,0.9986175697617709
0.5233687442953915,0.132035583238581,-2.4357971536406873,-0.32830895916377456,0.16549206625858554,-2.0835381878856536,-0.25183979685461594,0.32071659388189266,0.852211106100529,0,0.9984746658740824
0.4150407164970597,0.0945185161864042,2.972777667355209,-0.2604830044580462,0.1917948745180592,-2.009180798061565,-0.15269978653015265,0.3060079769078308,0.8611948132925146,0,0.9982966668122163
0.41909419968551875,0.05637364575163601,-2.7841601122375947,-0.14121735391244652,0.23685441930480888,-1.7183449481470736,-0.32365583749980426,0.2557864687735712,1.1992536136752363,0,0.9981433898403268
0.4976480886905863,0.11174161153717181,-2.8973349482940662,-0.07531033323803933,0.09837655392833809,1.1134374309283812,-0.47501632134288163,0.09192598687106589,-0.807588139688195,0,0.9976182688180735
0.42082151178891086,0.16896921613951252,1.3036877754798697,-0.016316393823907815,0.05013987979818547,3.126432645930556,-0.4655335978236386,0.13699705595316364,-1.49400956540655,0,0.9975144082683653
0.15011560027618154,0.05023108368342828,-2.5483116100628025,-0.17533187864113695,0.2600451846257831,-1.8574751557969715,0.012803690806664523,0.3130188516322071,1.2138953090451252,0,0.997391115689947
0.38130032490861554,0.05888016413032388,-2.787678478792695,-0.12568358015459904,0.2948800671333616,-1.8522185663487871,-0.2753427740522069,0.35027896307426587,1.1275040078178857,0,0.9970133721082832
0.4758039878813768,0.100005678710001,3.0672544213191024,-0.17854050418163403,0.05229938541112448,-0.1717403075247161,-0.3210278222358645,0.03163433629023396,-0.9646833457488291,0,0.9968201272652504
0.5172828097722544,0.0427800439464505,-1.842465058638896,-0.12885516621766316,0.014935132354695447,-1.71888545102032,-0.5391191778661766,0.025586877846243795,0.7884669845372124,0,0.9968152102870075
0.32685018310697894,0.029668216721391527,1.6587532276868093,0.012431979924846908,0.11726598007193782,-1.9533937514427429,-0.40004878406366645,0.08104064664227151,0.9852605658259662,0,0.9966562020101062
0.7143935735148285,0.01821944285085842,0.5180744841926976,-0.20648467474163684,0.040142020561048285,2.58021694841589,-0.5689556706909793,0.053294784591836245,-1.116028203067121,0,0.9963824698282918
0.768292660218075,0.13359160949176563,-2.300373301912248,-0.2470691857227587,0.15898318482972312,1.1325161679936422,-0.5945750956666168,0.0866167878390555,-0.8656630424208971,0,0.9961458402970432
0.7852635475581792,0.03391802328493805,-3.1239188743584436,-0.31252305793260243,0.01721948858777187,-0.667392332584515,-0.554227319747331,0.053357863383186786,-0.822915695793683,0,0.9961295180521286
0.46056262753031013,0.00954935815408789,2.2652150433931024,-0.18753353710030318,0.26057640578253416,-1.6504765398345804,-0.3033111012925663,0.26766967299663835,1.4255105652487734,0,0.9959781799194993
0.5677955109399965,0.17380107585643131,0.7877206749052732,0.06077255784203667,0.14490478941075718,3.1354467119211784,-0.653656324416516,0.09583098174649528,-1.2355580767272678,0,0.9957257157015725
0.3843301229204111,0.1904048334840387,2.1856676036685334,-0.2837188446121157,0.30662100929419456,-2.008699092858476,-0.09234752307562694,0.3525897956386732,0.6812587216292572,0,0.9956862649660291
0.35160279529428673,0.09244414930480042,-2.9939850460579462,-0.19996077839147383,0.4270052217024256,-2.03583238198192,-0.1475927380529716,0.5628690952447172,0.9902175587641071,0,0.9955918482304003
0.31061566869279256,0.06270465470286953,-2.7962461055970884,-0.21072257312333284,0.18294526694402008,-1.7001429926086733,-0.14785223920766488,0.23452155823590928,1.1331667407396062,0,0.9954510966159729
0.27810554082604616,0.019845630680430625,-1.068309167953943,-0.08229414615933581,0.31742210366200835,-1.7487192284029716,-0.25486535249634545,0.34724769739024347,1.4205332077056023,0,0.9953539896885165
0.4142254108355862,0.0528855182146743,2.1496918230848685,0.03572560207966752,0.05812359823624604,-1.8022750592846606,-0.46269503376957655,0.04198372014264407,0.1839656042608872,0,0.9951914405387775
