NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,MNDWI_mean,MNDWI_stdDev,BSI_mean,BSI_stdDev,EVI_mean,EVI_stdDev,NDVI_slope,lc,random_split
0.6871981,0.1123948278048077,-0.24771404,0.0981243749970472,-0.50182635,0.0846040933431189,-0.17183661,0.1033769160603002,0.3979118816475233,0.0324908194768178,-0.008732566953394,0,0.9995087891102494
0.33273208,0.0473449163510168,0.03198479,0.0398591710002871,-0.3752621,0.0513210193581771,0.085583515,0.0321871149809176,0.1756930673853043,0.023568073286577,0.0048885818551423,0,0.9994422472989776
0.5683821,0.1334544929693657,-0.1822209,0.1297669596680866,-0.44305468,0.1582737813144973,-0.10666337,0.109447005502002,0.2817341272886363,0.0442887606441166,0.0531491095739204,0,0.999440260266369
0.26016974,0.0836196691185225,-0.12016269,0.2973087267083363,-0.21526878,0.4126120799605328,0.017480036,0.1477078901850644,0.1968339591838499,0.0632547467043096,0.005980988816274,0,0.9990891848104804
0.61097276,0.1396589960927977,-0.21202117,0.1213075904288562,-0.47735825,0.0869372920449024,-0.12999439,0.1183335894317082,0.3828333714910967,0.0997004813412508,0.0341250695690762,0,0.9990702788828256
0.4071569,0.1033646346360354,-0.1775592,0.2593282287567017,-0.25987414,0.371594248026046,-0.06655625,0.1572432159743248,0.2596112721965131,0.0553920208610277,0.0550687005443119,0,0.9990541449894008
0.10396911,0.0512981489319815,-0.028453857,0.0801894750152728,-0.112155624,0.0690169208892458,0.029544247,0.0501044600270376,0.089665247995495,0.0394512073308117,-0.002408428749295,0,0.998993305701375
0.6416985,0.1203591381751186,-0.21593268,0.1062496974409412,-0.46802044,0.1709282667553224,-0.14416328,0.0764713668107133,0.4208499132758205,0.2279030086645411,0.0425270459907464,0,0.9988152513203532
0.53448546,0.0777062570174854,-0.2539871,0.0411972095009382,-0.34114447,0.0697723105246308,-0.14870656,0.0434467488936404,0.3952875088335563,0.068811665091617,-0.0578320204532271,0,0.9988036008537868
0.7332896,0.0996050417268608,-0.30498967,0.0485348832739202,-0.49590763,0.0857501863053991,-0.23866843,0.0456887397406635,0.3589259480123558,0.0522559010769397,0.0118620374358095,0,0.998778544441809
0.7061123,0.0842545803650275,-0.20150734,0.0798313587080906,-0.558995,0.0503548899977301,-0.14638467,0.0774067735855907,0.3618159232220137,0.0584091602555758,0.0272829458047358,0,0.9987651850350976
0.64021975,0.0960500639918661,-0.1862973,0.0910228658549189,-0.51830375,0.0333107863739585,-0.1090503,0.0954696976584979,0.4714144386065494,0.106353693787236,0.0210689936649785,0,0.9986175697617709
0.5399208,0.197206695590985,-0.30673486,0.191645677748426,-0.29333726,0.4142056254258513,-0.17170845,0.0685552641593959,1.4738642691019763,14.050619330002387,0.0308877925816414,0,0.9984746658740824
0.41956037,0.1214482492758344,-0.235815,0.1886287062711434,-0.19177252,0.3206801815506305,-0.12453898,0.1205107751947312,0.2996932675170402,0.0593491030113682,0.0643306174117014,0,0.9982966668122164
0.42400545,0.1030702006467658,-0.11157341,0.2286685861661182,-0.3565944,0.3310143334997899,-0.014752357,0.1280944241643432,0.2481030731398306,0.0668361285457666,0.0246592631625429,0,0.9981433898403268
0.5060715,0.1164952474635289,-0.07902331,0.0990830604608971,-0.47959378,0.0892411783937949,0.0029829904,0.0945769113822243,0.272519487813343,0.0752046168563427,0.1053305212723982,0,0.9976182688180736
0.39892772,0.1429165750006022,-0.012865055,0.0737035421728504,-0.45056432,0.1295720899054288,0.046884254,0.0683331352989061,0.1874117590238161,0.0557370211974545,0.0122860651103507,0,0.9975144082683652
0.15614152,0.0642956908596879,-0.14190924,0.2602929466234182,-0.028048934,0.3250647073870497,-0.034604974,0.1156390121208531,0.1761408365034358,0.2274733176084199,0.0340182698098956,0,0.997391115689947
0.38721973,0.1259295606921582,-0.08856351,0.2586969740287285,-0.32067174,0.3585853342404509,0.0016356473,0.1539765169483582,0.2443712282586091,0.0744748701170646,0.0678944592653136,0,0.9970133721082832
0.47823068,0.0849302723031956,-0.17932712,0.0667777212345712,-0.31920734,0.0435139437127182,-0.092386104,0.0615176871867245,0.2977391213881876,0.0592446126473681,0.05831646219697,0,0.9968201272652504
0.5189864,0.0793301478450977,-0.12841772,0.0431880834082606,-0.5410459,0.045707164598909,-0.015955625,0.0458959167430976,0.3180809939690048,0.0665584097006398,0.0209169433777199,0,0.9968152102870076
0.32382694,0.0948724436133728,0.026872069,0.1749062899764455,-0.4101063,0.2556855995040161,0.09054001,0.1058437099223216,0.1825375298861182,0.0950659488039766,0.0129341330312437,0,0.9966562020101062
0.71219504,0.0608531870926191,-0.20330292,0.0733792352989495,-0.5698958,0.0500425088223752,-0.14521743,0.0746557560308727,0.3812781680178276,0.0594694677519482,0.0303068157498042,0,0.9963824698282918
0.78001034,0.1347685220490627,-0.25770533,0.1256136786683719,-0.598659,0.1148779174344949,-0.21117187,0.1333806379879883,0.4615983945879369,0.1680620939312569,0.0439414831493622,0,0.9961458402970432
0.78876835,0.0533491658486056,-0.31364122,0.0531777578160128,-0.55695736,0.0787024510872111,-0.2526978,0.0504892826223717,0.4769838009674111,0.0554576704738901,0.0326458529314832,0,0.9961295180521286
0.46014997,0.1164744968452319,-0.1561929,0.2273127622450469,-0.33650967,0.3227098973291348,-0.059504956,0.146491331605929,0.2616651240269899,0.1273641230272124,-0.0671726213873927,0,0.9959781799194992
0.5578657,0.1646464630381544,0.071868315,0.1537495921397768,-0.6556763,0.1036171945515945,0.11305822,0.1449064192208005,0.1806312024895732,0.0879541785960941,-0.0044666593230602,0,0.9957257157015724
0.39164063,0.1550454560246939,-0.2632151,0.2564481849125509,-0.12622647,0.3542103636663341,-0.14520149,0.1980033015527161,0.4293201434290792,0.4971869498588606,0.064981315018983,0,0.9956862649660292
0.35703102,0.1214844459710885,-0.14734988,0.3406266911475705,-0.21551877,0.4881599617124236,-0.032347776,0.2124792856051329,3.216287380176757,53.08782074684101,0.0701926503437759,0,0.9955918482304004
0.31680763,0.0814029435513098,-0.18986905,0.1833229089466449,-0.17705666,0.259523301789128,-0.06266355,0.0951020218064314,0.2168539583088509,0.0449757079896217,0.0555737544334486,0,0.9954510966159728
0.27938348,0.084705596548262,-0.043995816,0.2965137762724698,-0.29629755,0.3956627397419817,0.057630077,0.1588428629581681,0.1887628128073512,0.0452713824813983,-0.0556953767830129,0,0.9953539896885164
0.41127765,0.0734512979100218,0.04263643,0.1001351643331708,-0.46609926,0.1464852346376846,0.065678164,0.0710070714933164,0.1721560069689162,0.0970855770170039,0.0038367859939107,0,0.9951914405387776
0.6013832,0.0792293327271148,-0.050509878,0.051302206851943,-0.59182674,0.0804462077941775,-0.0009753678,0.0469656706147554,0.2396816567699727,0.0328021781485068,0.0036736448670933,0,0.9951240307276162
0.24100986,0.0786240341675663,-0.04855502,0.1925422339561723,-0.23904467,0.2809207452784784,0.035169255,0.1021731294313211,0.180842915389105,0.2587550981642261,0.0324754250394544,0,0.9949748776190864
0.74315184,0.1035285164254651,-0.36034387,0.0617822913144566,-0.46738988,0.0963328768488853,-0.28387964,0.0593814348194734,0.5115907514829535,0.050409632744209,0.0162127064396423,0,0.9947842538978244
0.4547471,0.17440723644686,-0.13930055,0.23195220530474,-0.36448827,0.3868786982832286,-0.034534805,0.1200948911790594,0.2781214942828247,0.1641748807459583,0.0823665278452274,0,0.9947276263008852
0.2462153,0.0939792120825931,-0.09816177,0.2815699659078966,-0.19651608,0.3994493369676082,0.0116182435,0.1587895559042654,0.1991296184890276,0.1509576851802243,0.0677613830788651,0,0.9946388202704878
0.7677271,0.0714588991441097,-0.33770415,0.0502129528259171,-0.5618332,0.0873899574799094,-0.26758277,0.0562052457497571,0.5416945652692642,0.1047722764919701,0.0365698990838692,0,0.9943634544446834
0.36363566,0.0813950307629571,-0.0044456758,0.1409184777916922,-0.42270797,0.2195215633758565,0.058341753,0.0854557323769422,0.2563294206716033,0.5551055352425184,0.0423471759916538,0,0.9940902041210404
0.42974913,0.0816966612840769,-0.24363455,0.1303223823986061,-0.21655737,0.1944079020514233,-0.1298672,0.0745303822664194,0.2174017522344298,0.0272254930666176,0.0269213563740635,0,0.994041418665568
0.13267013,0.0455758821153233,-0.06285668,0.0757756074913082,-0.114506185,0.0830773491224304,0.010717978,0.0622229044343039,0.1021374684439499,0.0181524248684371,0.0158036726365415,0,0.9939657134347258
0.5553328,0.10078501819575,-0.12959944,0.1063578441724126,-0.45074326,0.1844060067032868,-0.06214325,0.0656173880223272,0.3268507206849408,0.0762371832584466,0.0006420334783266971,0,0.9939304179464328
0.82281786,0.1487815135290627,-0.53073424,0.1164857812124708,-0.42752546,0.209804458517517,-0.4627259,0.1196012274990503,0.5095918183641897,0.7327192434499492,-0.0052110508900435,0,0.9938481071153858
0.31361294,0.0917212205271126,-0.05766099,0.1315984088424683,-0.29888895,0.1381935351188451,0.007398892,0.1126062399647131,0.2533954791937476,0.0723105555880738,0.0348476820383341,0,0.9936481193153088
0.677659,0.1754651271662308,-0.19343162,0.1243897154144744,-0.54300433,0.2217297975325676,-0.13259715,0.1073479958666061,0.3598762289347905,0.1165261281138113,0.0809734707156894,0,0.9936400896567922
0.63243204,0.1138946197297152,-0.42138076,0.1481230732322629,-0.25926772,0.2759685755258021,-0.2877024,0.0929805826677222,0.4269444048932705,0.0617854780645804,0.052317608894996,0,0.9934781001604062
0.5694276,0.1248912955011958,-0.3181287,0.2014908618465421,-0.3077283,0.3182532576212578,-0.19356094,0.1236854397479736,0.3404727692403302,0.1751350531959995,0.0459948962926974,0,0.9933597860423156
0.7499715,0.1268706670239471,-0.2784862,0.0916547777837331,-0.54940265,0.1327014964926035,-0.22144388,0.0802372726317541,0.4897510105829559,1.1402731385273066,0.0163431462740474,0,0.9933336821071546
0.7498238,0.1654420637782493,-0.43348306,0.1110410012203759,-0.41330934,0.1894641425951828,-0.3528527,0.094920325632628,0.5832434572692524,0.7107366110781348,0.0481779462924866,0,0.9932315374782354
0.6908407,0.0766320602446629,-0.23294374,0.0897330088919753,-0.55195564,0.1270922887208082,-0.15441708,0.0668619234901639,0.3841202986179619,0.0496095393014481,0.0519118097249345,0,0.9925975706233272
0.36991978,0.1381543723267133,-0.21468906,0.3016118433582008,-0.18580464,0.458448847673844,-0.06983611,0.1579773095910517,0.2866542229697687,0.4304515644052876,0.034230485390909,0,0.9925153669723068
0.75464153,0.0791423019324851,-0.41965657,0.0673005516940968,-0.45179182,0.1661261167480122,-0.33458224,0.067672698971132,0.3150745770926799,0.0458014549446233,0.0188373256235132,0,0.9922887191746168
0.8243851,0.1402978637531714,-0.3949292,0.0823360213372921,-0.55870414,0.1974200515688099,-0.34609392,0.0837388464276014,0.3520337962623256,0.1145377842013885,-0.0114147693717152,0,0.9920435596730002
0.6626373,0.1579700511078092,-0.12929024,0.1100007195249447,-0.57054824,0.1803190797932721,-0.07657527,0.0965229146553512,0.2358623318339409,0.0951835871476425,0.0892939436099778,0,0.991851525105538
0.3863662,0.0836860639055315,-0.08135471,0.0536035547964409,-0.38349447,0.0656258275745184,0.012388463,0.0473211174539512,0.2837316654565122,0.0722043977535135,0.0461241904075144,0,0.9917658072774264
0.5792452,0.0678857848736107,-0.2503054,0.066705162746769,-0.31326395,0.0615996870925081,-0.17228751,0.0589038433277268,0.4326297701292519,0.0490643474891543,0.0153965891375269,0,0.9913303882326192
0.23106,0.1018182697426784,-0.13147523,0.249445142186223,-0.15270983,0.3711387354049246,-0.010154443,0.122131941383375,0.1696761832231574,0.1476038503204943,0.0425154865023822,0,0.990983575949006
0.5870906,0.1113963359536045,-0.18829215,0.1160501069460889,-0.47614223,0.1917036647929182,-0.10548341,0.0729698252796301,0.329246615517702,0.0758483289764119,0.045112587058537,0,0.9906773093614945
0.19218221,0.099020383757298,0.026411721,0.2703555640530733,-0.26932445,0.3577967802890828,0.08990041,0.1569464608543413,0.1198748196988567,0.1360735837810868,0.0741594462870292,0,0.9905356578117808
0.6431577,0.1275404160170723,-0.22561473,0.0581961499992945,-0.48205855,0.1133931707042296,-0.15292473,0.052410196255902,0.3363788502730473,0.1122408807225147,0.0253780862720905,0,0.9901251012750776
0.09844602,0.0629169487301021,0.06170765,0.2509155102353773,-0.20505878,0.3097522312694995,0.08708807,0.1587447588748445,0.0695206568661537,0.069649218682613,0.0247699377372515,0,0.9900033318015634
0.41262823,0.1664854299850465,-0.17456122,0.2961683686005504,-0.26450044,0.4834998139050636,-0.04708135,0.16611784112322,0.2350569697087519,0.0639830849359693,0.0992403082722307,0,0.9899624494693514
0.23125532,0.0583047284118655,0.034247626,0.0783870523237026,-0.30950397,0.0824613718221635,0.06776902,0.065894317281203,0.186957438099278,0.0467905091971698,0.0278965522134911,0,0.989807771239253
0.26967847,0.0607074006428444,-0.014570913,0.1028819321061496,-0.30372503,0.1240197145776855,0.043394417,0.0741835736154295,0.1756272161238788,0.0383483300261906,0.0005342429989213621,0,0.989770266354326
0.53738236,0.080209988882525,-0.02861034,0.0685663263590294,-0.54993963,0.0619084387256624,0.037935294,0.059452290900643,0.3230738349178601,0.0400072371498919,-0.0662399471004314,0,0.9897350214605212
0.7480688,0.0553599291669659,-0.3356774,0.0672055072997727,-0.5025429,0.0904178417083839,-0.26095608,0.0629532247618956,0.3632456921543858,0.0697407346438618,0.0267661218076313,0,0.9897099189348908
0.08100908,0.0763475140572131,-0.07064547,0.4645275498250637,-0.084931575,0.5736826748956633,0.088055514,0.2375891961018165,0.0196155501468038,0.1094753310155137,0.0442226081727795,0,0.9896029546785003
0.26446822,0.092671540781218,-0.042501867,0.216744949788694,-0.28063095,0.321734065615774,0.0424215,0.1165286460716544,0.170333792946174,0.0993375766793597,0.0286300155975799,0,0.989517165332166
0.5981541,0.1342469825137296,-0.30027562,0.1441935812009536,-0.33301622,0.2318656006384225,-0.20723987,0.1124239204759353,0.2566070167096148,0.9667107273669452,0.0584386293843407,0,0.9895082660168874
0.55112743,0.1478360672750145,-0.21438833,0.1056377656655765,-0.3801425,0.1652162583426577,-0.13478373,0.0871933431847968,0.281557015635872,0.0888806964177896,0.0333052670405073,0,0.9894438868012514
