B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.0249,0.03505,0.03355,0.09,0.1536,0.17975,0.148,0.21485,0.17925,0.63040483,0,0.6658500258935167,0.09549274255156609
0.034,0.0535,0.0458,0.07175,0.15755,0.1713,0.2233,0.22975,0.12885,0.6596061,0,0.4432942052363685,-0.2682095697856028
0.036,0.0537,0.0527,0.12305,0.1923,0.20615,0.2125,0.18105,0.1688,0.6025641,0,0.4222560232977367,-0.11460792027275109
0.03725,0.0555,0.05935,0.08865,0.18955,0.209,0.2389,0.23955,0.18485,0.60201174,0,0.2250399831571593,-0.1275516224188791
0.0492,0.0778,0.0708,0.1125,0.2104,0.2302,0.2492,0.2528,0.1753,0.5575,1,0.748427486492423,-0.1740871613663133
0.0514,0.0736,0.0722,0.1054,0.182,0.1963,0.2198,0.2128,0.1957,0.50547945,1,0.610270018266796,-0.05800240673886879
0.0508,0.073,0.0734,0.1266,0.1942,0.2161,0.2226,0.2756,0.2401,0.50405407,1,0.5206182287789395,0.03782148260211804
0.0359,0.0544,0.0487,0.0901,0.1839,0.2059,0.2152,0.22745,0.1775,0.6309208,1,0.4377423715177417,-0.09600203717850779
0.0781,0.1028,0.1307,0.13815,0.1872,0.2058,0.2462,0.2091,0.23405,0.3064473,1,0.3042145362835248,-0.025299323269130647
0.0493,0.072,0.07,0.1102,0.1948,0.208,0.2086,0.2271,0.1935,0.49748743,1,0.2700462732009162,-0.03755284755036061
0.03955,0.0586,0.05175,0.09385,0.20485,0.23625,0.2542,0.26415,0.18815,0.6617094,1,0.190479298536815,-0.14931615236803428
0.0393,0.0594,0.053,0.0935,0.20155,0.2297,0.2336,0.24155,0.16965,0.63014656,1,0.1901074896002794,-0.15858648481091137
0.03895,0.0565,0.0536,0.0877,0.1723,0.19465,0.21,0.21875,0.1713,0.59332323,1,0.1823271916724506,-0.10149488591660107
0.03945,0.0583,0.0551,0.08885,0.1923,0.2107,0.2246,0.23795,0.18835,0.60600644,1,0.1280756374795781,-0.0877830245792469
0.05105,0.0686,0.0662,0.1047,0.18655,0.2052,0.2154,0.2201,0.2016,0.5298295,1,0.0797717165480094,-0.03309352517985613
0.0494,0.0678,0.0708,0.0968,0.1686,0.1903,0.2008,0.2415,0.1873,0.4786451,1,0.7631189894268038,-0.034784849265653214
0.0637,0.0834,0.0911,0.1113,0.197,0.2136,0.2314,0.2339,0.2098,0.43503875,1,0.7565858806765774,-0.048957388939256594
0.0538,0.0744,0.0774,0.1125,0.1813,0.204,0.2028,0.2152,0.2041,0.44753748,1,0.66187709974348,0.003194888178913727
0.0642,0.0946,0.0894,0.1473,0.2415,0.2675,0.28,0.2852,0.2129,0.51597184,1,0.6450253529903269,-0.13613308987624267
0.0428,0.0652,0.061,0.10725,0.1831,0.20355,0.2117,0.2271,0.1928,0.55262196,1,0.5554650022834053,-0.04672435105067985
