B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split,NDVI_Q1,NDVI_Q2,NDVI_Q3,NDVI_Q4,NDVI_amplitude,NDVI_greenup_rate,NDVI_winter_green
0.0149,0.0368,0.064,0.0597,0.107,0.2271,0.2708,0.2836,0.2916,0.2844,0.2007,0.1428,0.65219927,-0.18464349,-0.51643366,-0.10330579,3.453840836919592,0,0.9995087891102494,0.3026311838926329,0.4560249450043947,0.6597954053088605,0.3980730638111521,0.3571642214162276,0.15339376111176184,0.3026311838926329
0.064,0.05595,0.0848,0.092,0.09995,0.12605,0.14585,0.1789,0.1798,0.1807,0.1915,0.148,0.32078257,0.03151088,-0.38617444,0.093855485,3.5773076784568323,0,0.9994422472989776,0.1131526333127851,0.2109871190663869,0.3476391220667854,0.1908692531325981,0.23448648875400027,0.09783448575360179,0.1131526333127851
0.03615,0.03845,0.0542,0.0613,0.08995,0.1702,0.20035,0.2045,0.21905,0.2184,0.15685,0.098,0.53875095,-0.16546957,-0.48637763,-0.053784452,3.464671261615841,0,0.999440260266369,0.2649514633741937,0.4009209787035031,0.5469505876961062,0.3491718787822269,0.2819991243219125,0.1359695153293094,0.2649514633741937
0.04251346,0.08801379,0.11899615,0.1424,0.15789285,0.20112273,0.22488572,0.25962666,0.24404,0.20777813,0.25554,0.20127334,0.29158926,0.023019368,-0.3645679,0.06746363,3.5773076784568323,0,0.9990891848104804,0.1594321084917364,0.2174998996588501,0.3587542099924327,0.1931555513223518,0.1993221015006963,0.05806779116711372,0.1594321084917364
0.0312,0.0397,0.0738,0.0663,0.1106,0.2331,0.2716,0.2886,0.2934,0.2693,0.1835,0.1114,0.62637365,-0.2304466,-0.4263506,-0.13578965,3.4646712616158406,0,0.9990702788828256,0.2233370868403849,0.4088452815716901,0.6692672735741125,0.2862495139767023,0.44593018673372764,0.1855081947313052,0.2233370868403849
0.0379,0.06015,0.073133335,0.08295,0.1085,0.17758334,0.2066,0.22166666,0.22255,0.20953333,0.175125,0.13205,0.45538107,-0.11925568,-0.41082877,-0.043974858,3.4646712616158406,0,0.9990541449894008,0.1658560962941304,0.3615547180369121,0.4461552370584895,0.2895859081328537,0.2802991407643591,0.1956986217427817,0.1658560962941304
0.18226667,0.15473333,0.1768,0.1944,0.1768,0.20286667,0.22123334,0.2334,0.227675,0.27535,0.22825,0.20528,0.091164105,0.0012611528,-0.12702136,0.04257199,3.3953565435598465,0,0.998993305701375,0.0448590593450185,0.062812318339475,0.0816232819857879,0.0245940807148774,0.0367642226407694,0.017953258994456496,0.0448590593450185
0.033736844,0.036988236,0.064166665,0.056975,0.11952,0.23971666,0.27976,0.29933333,0.3029625,0.31737,0.178,0.11513636,0.6801927,-0.25981757,-0.47006196,-0.17739747,3.4646712616158406,0,0.9988152513203532,0.2965994372296925,0.4564108111435283,0.6942836015845606,0.365463757756539,0.3976841643548681,0.15981137391383582,0.2965994372296925
0.0448,0.0815,0.10585,0.10425,0.1226,0.2298,0.27785,0.3168,0.3017,0.30685,0.18995,0.1309,0.5048094,-0.22729583,-0.2843137,-0.15032491,3.4646712616158406,0,0.9988036008537868,0.2266601952748713,0.3991262914306162,0.4796688245872294,0.297231437688793,0.2530086293123581,0.17246609615574487,0.2266601952748713
0.0187,0.0236,0.0397,0.0336,0.0766,0.1895,0.227,0.2232,0.2512,0.261,0.1207,0.0578,0.7383178,-0.35090077,-0.50498754,-0.2306158,3.453840836919591,0,0.998778544441809,0.3066516921727926,0.5503590831478846,0.7733064491959746,0.4553198132709004,0.466654757023182,0.24370739097509203,0.3066516921727926
0.0173,0.0263,0.0407,0.0354,0.0701,0.179,0.2271,0.2312,0.2435,0.2403,0.1498,0.079,0.7344336,-0.23824051,-0.5727034,-0.163316,3.464671261615841,0,0.9987651850350976,0.3568770592458848,0.4908559322415626,0.7452816156553075,0.3914381216913953,0.3884045564094227,0.1339788729956778,0.3568770592458848
0.06125,0.03975,0.07745,0.0673,0.13155,0.28535,0.3254,0.3826,0.37695,0.38075,0.2411,0.1506,0.7008224,-0.21980423,-0.5137341,-0.15593569,3.5773076784568323,0,0.9986175697617709,0.3387038380628684,0.5579076132077317,0.708516167325756,0.4416307325117264,0.36981232926288754,0.21920377514486333,0.3387038380628684
0.03541579,0.034466665,0.05622,0.057,0.1045,0.229875,0.267525,0.25546667,0.2913,0.2924,0.14653334,0.087075,0.6351611,-0.3306433,-0.44543454,-0.1750878,3.4430104122233427,0,0.9984746658740824,0.2878034159268365,0.4770799130509858,0.6557697100331246,0.403996825425948,0.36796629410628806,0.1892764971241493,0.2878034159268365
0.06774,0.07705,0.0993,0.1078,0.145175,0.21775,0.24673334,0.2532,0.26475,0.2932,0.1788,0.1499,0.40277007,-0.19377749,-0.2858684,-0.07076274,3.4343460724663437,0,0.9982966668122164,0.2150637677090409,0.2896885669312486,0.4544549665010717,0.2430713278889849,0.2393911987920308,0.07462479922220772,0.2150637677090409
0.050411113,0.050389286,0.06545185,0.07365357,0.10473077,0.15875334,0.1897375,0.2225375,0.20738333,0.21389286,0.18395,0.1319,0.50266176,-0.059880733,-0.4751294,-0.028882815,3.5773076784568323,0,0.9981433898403268,0.2402230722675613,0.4096230313686533,0.5077904205656251,0.2755683470931885,0.2675673482980638,0.169399959101092,0.2402230722675613
0.03755,0.0355,0.0628,0.0617,0.1045,0.2053,0.24535,0.2442,0.26145,0.2601,0.178,0.12675,0.5966002,-0.18989643,-0.47840533,-0.07701194,3.4646712616158406,0,0.9976182688180736,0.2426913161135028,0.4343310775148892,0.5932089888738585,0.3285787798743212,0.3505176727603557,0.1916397614013864,0.2426913161135028
0.0669,0.064,0.0894,0.0959,0.1262,0.16745,0.1883,0.2123,0.20265,0.26905,0.203,0.1379,0.37767684,0.000862809,-0.3885089,0.03929066,3.5773076784568323,0,0.9975144082683652,0.181017101522475,0.271084832546879,0.4229384286996773,0.2573840679474068,0.2419213271772023,0.09006773102440399,0.181017101522475
0.0912,0.16286667,0.18053333,0.18866667,0.1975625,0.2404,0.2594,0.27533334,0.2677182,0.26909092,0.244,0.20531428,0.18678162,-0.046350107,-0.1494975,-0.0063538286,3.453840836919592,0,0.997391115689947,0.05528525097513,0.1146737629193403,0.215808132479734,0.0667322914051228,0.16052288150460398,0.0593885119442103,0.05528525097513
0.0483875,0.05202,0.073925,0.07975,0.1247625,0.190275,0.2231,0.2347,0.23653333,0.23506667,0.21445,0.1613,0.49276513,-0.04896706,-0.4872995,0.012876146,3.3953565435598465,0,0.9970133721082832,0.2480978175392182,0.3722464067792123,0.4831357347884883,0.3275931918245753,0.23503791724927012,0.12414858923999408,0.2480978175392182
0.0403,0.05795,0.0806,0.082,0.1215,0.21945,0.24975,0.22806667,0.2616,0.24846,0.163475,0.105775,0.47108147,-0.23084158,-0.33954728,-0.076279014,3.5773076784568323,0,0.9968201272652504,0.2104888841704124,0.3534767474197194,0.4712370634597706,0.2776929072260869,0.26074817928935823,0.142987863249307,0.2104888841704124
0.0547,0.0336,0.0619,0.0877,0.1364,0.26095,0.3049,0.293,0.32125,0.26995,0.2255,0.1695,0.53926975,-0.17512572,-0.56924146,-0.020944055,3.464671261615841,0,0.9968152102870076,0.2371255165936421,0.3887146241966913,0.545131177478164,0.3206868150107143,0.30800566088452186,0.1515891076030492,0.2371255165936421
0.05595,0.0580725,0.08022,0.09237273,0.1276,0.1832875,0.21092667,0.21326667,0.23048334,0.23112728,0.220675,0.17193,0.39554435,-0.02174033,-0.46679077,0.071371496,3.4646712616158406,0,0.9966562020101062,0.1575670711678817,0.2610923413839718,0.4063987383381495,0.1860839788376002,0.24883166717026778,0.10352527021609009,0.1575670711678817
0.0187,0.0256,0.0446,0.0361,0.0851,0.1896,0.2174,0.2433,0.2379,0.2527,0.1457,0.0851,0.7415891,-0.24035457,-0.5312664,-0.19325496,3.4646712616158406,0,0.9963824698282918,0.3703913351602209,0.5378420476249822,0.7008911044718266,0.4405519610961423,0.3304997693116057,0.16745071246476134,0.3703913351602209
0.0247,0.0174,0.0384,0.0246,0.078,0.2694,0.3197,0.3123,0.3395,0.2537,0.1583,0.0781,0.8539626,-0.36400163,-0.6095577,-0.28638315,3.4646712616158406,0,0.9961458402970432,0.3796472855379359,0.6127591084271358,0.8076880617659532,0.5307851254803413,0.4280407762280173,0.23311182288919985,0.3796472855379359
0.0237,0.0202,0.0442,0.0288,0.0806,0.2133,0.2715,0.3078,0.2973,0.2613,0.1565,0.0856,0.82887703,-0.31026888,-0.5595416,-0.27800506,3.447342582101842,0,0.9961295180521286,0.3601448288351068,0.556787232037974,0.8022553293399264,0.4572339153644406,0.4421105005048196,0.1966424032028672,0.3601448288351068
0.0502,0.060514286,0.080816664,0.0876,0.1107,0.1646,0.1904,0.21365,0.2077,0.21456666,0.1828,0.1399,0.41842324,-0.063764416,-0.38686225,-0.006912488,3.4646712616158406,0,0.9959781799194992,0.1777264514853531,0.2571103622602744,0.3894810867096597,0.2660130200175553,0.2117546352243066,0.0793839107749213,0.1777264514853531
0.0326,0.0227,0.0354,0.0323,0.0599,0.1131,0.1307,0.15105,0.14965,0.2139,0.12955,0.08315,0.6476684,-0.0719914,-0.570779,-0.035458904,3.555646829064334,0,0.9957257157015724,0.3074200555666004,0.4832758493642931,0.628353679580825,0.3912714076103707,0.3209336240142246,0.17585579379769267,0.3074200555666004
0.045,0.1049,0.1317,0.128,0.1666,0.2509,0.2774,0.2898,0.3043,0.2822,0.1634,0.1186,0.3872666,-0.3012615,-0.10742122,-0.15056112,3.46467126161584,0,0.9956862649660292,0.1852332919309223,0.2007753025484493,0.4063079192627001,0.2130472915850308,0.2210746273317778,0.015542010617526997,0.1852332919309223
0.057692856,0.057791665,0.07552,0.091425,0.1344,0.194325,0.21926667,0.2066,0.24875,0.25544,0.2107,0.1517,0.38646084,-0.0828164,-0.47229403,0.06660589,3.5773076784568323,0,0.9955918482304004,0.1862893563478797,0.2844141206088378,0.3813929653102579,0.2575166965947391,0.19510360896237822,0.09812476426095812,0.1862893563478797
0.04985,0.0806,0.10155,0.1114,0.1337,0.19015,0.20946667,0.2243,0.22135,0.225275,0.159025,0.1174,0.33631217,-0.16385147,-0.2205699,-0.05992265,3.4646712616158406,0,0.9954510966159728,0.1642651065902365,0.2278022706673853,0.3422040081503056,0.1357195989306433,0.1779389015600691,0.0635371640771488,0.1642651065902365
0.06405,0.1024,0.1322,0.1556,0.1783,0.2248,0.2492,0.2654,0.26645,0.2377,0.263,0.21166667,0.2608076,-0.0065161516,-0.33097166,0.064598195,3.4646712616158406,0,0.9953539896885164,0.1816128480261138,0.2270288702063972,0.2240784976987321,0.1668849824623112,0.04246564967261829,0.0454160221802834,0.1816128480261138
0.048371427,0.04695,0.05745,0.06381111,0.08733334,0.12543334,0.140455,0.14834167,0.15525,0.1633,0.16552,0.13073333,0.39844194,0.03201671,-0.48468402,0.08016394,3.3780278640458468,0,0.9951914405387776,0.1671064225084615,0.2720741505253837,0.3845926739123716,0.2876482187421987,0.21748625140391012,0.1049677280169222,0.1671064225084615
0.0234,0.026,0.0418,0.0414,0.0699,0.1271,0.1428,0.161,0.1778,0.2253,0.1503,0.0936,0.59090906,-0.083815925,-0.56481,0.012410874,3.5773076784568323,0,0.9951240307276162,0.2505417951278538,0.4452390496275569,0.6085267898523452,0.3977437301730198,0.3579849947244914,0.1946972544997031,0.2505417951278538
0.066083334,0.09208,0.1144,0.13373333,0.13865,0.18676667,0.2145875,0.2275,0.22965,0.24506667,0.21865,0.16571666,0.2595737,-0.024537157,-0.31301606,0.04881714,3.5773076784568323,0,0.9949748776190864,0.0923949831525636,0.1749856487628662,0.2774222737453041,0.1674384216161556,0.18502729059274048,0.08259066561030261,0.0923949831525636
0.0268,0.0301,0.0578,0.0453,0.104,0.2566,0.3137,0.354,0.3419,0.3175,0.1597,0.0875,0.77310294,-0.36323762,-0.46850577,-0.3040231,3.5686433386998333,0,0.9947842538978244,0.3663757056772648,0.5600465614045843,0.7513657251543627,0.4548113407160746,0.38499001947709793,0.1936708557273195,0.3663757056772648
0.052633334,0.05204,0.06821667,0.075925,0.121114284,0.225725,0.259875,0.28448573,0.2836,0.3059,0.2087,0.14747778,0.57867515,-0.152143,-0.50731266,-0.083555765,3.4646712616158406,0,0.9947276263008852,0.2942729862816268,0.4387512039276015,0.5835250215913866,0.3281310133035711,0.28925203530975985,0.14447821764597468,0.2942729862816268
0.06002857,0.080875,0.10333333,0.1302,0.155825,0.20503333,0.22796667,0.240525,0.2449,0.24543333,0.24403334,0.17958333,0.29759258,-0.0017725657,-0.4050475,0.07594996,3.4213495628308443,0,0.9946388202704878,0.1304982372703537,0.2003899861102626,0.36355801560447,0.1694677741828307,0.23305977833411629,0.0698917488399089,0.1304982372703537
0.0158,0.024266666,0.04695,0.0422,0.09935,0.2491,0.3096,0.3528,0.34666666,0.323025,0.1714,0.105225,0.78632915,-0.3383091,-0.5699565,-0.27674946,3.4646712616158406,0,0.9943634544446834,0.3286434231911241,0.5960536345349522,0.7858012121223309,0.4881117074375372,0.4571577889312068,0.2674102113438281,0.3286434231911241
0.0412,0.0511,0.0701,0.08365,0.10795,0.16265,0.1814,0.1949,0.19705,0.192,0.20525,0.1551,0.3993897,0.020382773,-0.49082983,0.08020189,3.408353053195345,0,0.9940902041210404,0.1549909285292628,0.2577496476868055,0.3785940916157266,0.2154165058362175,0.2236031630864638,0.10275871915754273,0.1549909285292628
0.0274,0.0637,0.0754,0.0762,0.0933,0.1559,0.1811,0.1856,0.1959,0.2033,0.122,0.0901,0.41787624,-0.23246302,-0.23606889,-0.11418993,3.5773076784568323,0,0.994041418665568,0.207562091634741,0.3097086780767514,0.4126633683191352,0.2734484585415114,0.20510127668439418,0.10214658644201038,0.207562091634741
0.13435,0.1519,0.1796,0.2027,0.22565,0.2443,0.25145,0.2502,0.2582125,0.248,0.238125,0.1943,0.10487966,-0.040471476,-0.14010413,0.045941222,3.339038335139351,0,0.9939657134347258,0.0694934721361032,0.1031925468836355,0.1076449732258049,0.1269226115400997,0.038151501089701695,0.033699074747532295,0.0694934721361032
0.045227274,0.043084417,0.06447273,0.06485,0.112475,0.19555,0.22355,0.23923333,0.240725,0.214725,0.185525,0.130525,0.57347214,-0.12950146,-0.4842135,-0.059964668,3.464671261615841,0,0.9939304179464328,0.2743570910491558,0.43270106555371,0.5689370885792835,0.3422267869461781,0.2945799975301277,0.15834397450455423,0.2743570910491558
0.005,0.0174,0.0359,0.0225,0.0516,0.165,0.227,0.271,0.2452,0.256,0.0788,0.0377,0.846678,-0.51358026,-0.37401918,-0.4801129,3.453840836919591,0,0.9938481071153858,0.3610398087813392,0.6671015063020622,0.845737358979705,0.4676749559015008,0.48469755019836586,0.30606169752072304,0.3610398087813392
0.09925,0.1041,0.1355,0.1464,0.1877,0.248,0.2673,0.2858,0.2899,0.3142,0.28165,0.2141,0.32253587,-0.014434429,-0.3503536,0.046641,3.464671261615841,0,0.9936481193153088,0.1521059811920016,0.2093226468806802,0.2792324660918948,0.1531791796105076,0.12712648489989317,0.057216665688678586,0.1521059811920016
0.021481818,0.021908334,0.036666665,0.0336,0.073,0.2202,0.27986667,0.265,0.3041,0.3117,0.15115,0.0805,0.7749498,-0.33596924,-0.60954833,-0.2165939,3.460339091737341,0,0.9936400896567922,0.3522279842742218,0.5165893784595423,0.7460708857474215,0.4882668465513473,0.3938429014731997,0.16436139418532053,0.3522279842742218
0.0223,0.0314,0.0554,0.058,0.0886,0.1945,0.2414,0.2944,0.2653,0.2576,0.1221,0.0652,0.67082864,-0.36964378,-0.37577465,-0.2880016,3.4646712616158406,0,0.9934781001604062,0.3084335459018704,0.4531665675451463,0.666348582887855,0.4007047986311866,0.35791503698598465,0.1447330216432759,0.3084335459018704
0.028471429,0.03423333,0.054166667,0.0579,0.07685,0.183,0.2279,0.233,0.24635,0.262,0.123833336,0.0774,0.6019251,-0.33096212,-0.39138576,-0.19043729,3.5773076784568323,0,0.9933597860423156,0.2970091583384456,0.4531993489964531,0.5969670608993269,0.3874599868819215,0.29995790256088134,0.1561901906580075,0.2970091583384456
0.0256375,0.017288236,0.033077776,0.029075,0.076025,0.19695714,0.23682857,0.24547,0.257245,0.23755,0.13705833,0.07664444,0.788195,-0.30480763,-0.611161,-0.22528982,3.5773076784568323,0,0.9933336821071546,0.3613956164632405,0.5824380880280814,0.7712093217542,0.4569079725252195,0.4098137052909595,0.22104247156484091,0.3613956164632405
0.0119,0.0237,0.0435,0.0364,0.08365,0.22195,0.2751,0.3217,0.2992,0.27745,0.1127,0.05495,0.7967048,-0.4527798,-0.44302177,-0.39696664,3.4646712616158406,0,0.9932315374782354,0.3788845668921568,0.5766951557894224,0.7913943924177069,0.5029415864261949,0.4125098255255501,0.1978105888972656,0.3788845668921568
0.0212,0.0252,0.0432,0.0411,0.0843,0.2193,0.2702,0.2614,0.2955,0.281,0.1593,0.092,0.72826445,-0.2994723,-0.5733333,-0.17700209,3.4646712616158406,0,0.9925975706233272,0.3297463745846667,0.4906616925267861,0.7300948956624261,0.4322096947965081,0.4003485210777594,0.16091531794211938,0.3297463745846667
0.04284643,0.05777,0.07219091,0.0841125,0.10469697,0.17509,0.20664616,0.22876666,0.22103333,0.22243333,0.16636364,0.11954167,0.46233237,-0.1411206,-0.39476392,-0.067150205,3.4646712616158406,0,0.9925153669723068,0.2167231484606995,0.3558853251998717,0.4890147736957357,0.2554243003402815,0.2722916252350362,0.1391621767391722,0.2167231484606995
0.0148,0.0215,0.0342,0.0241,0.0565,0.1542,0.186,0.1964,0.21,0.2135,0.0795,0.0426,0.7814059,-0.4507772,-0.39841685,-0.35552102,3.5773076784568323,0,0.9922887191746168,0.3705713017751562,0.5258711046704838,0.7784295479432185,0.4568135856359284,0.4078582461680623,0.15529980289532763,0.3705713017751562
0.01777,0.0161,0.0275,0.0209,0.052675,0.16975,0.2188,0.1974,0.2396,0.27605,0.09195,0.0369,0.8085204,-0.44533253,-0.5395563,-0.30841124,3.4646712616158406,0,0.9920435596730002,0.32011950540433,0.616903175471307,0.8204934961589476,0.4492006093373029,0.5003739907546176,0.29678367006697703,0.32011950540433
0.0248,0.01475,0.02925,0.02815,0.06765,0.1355,0.1587,0.1544,0.1703,0.2137,0.11825,0.0609,0.6915914,-0.18038471,-0.6033898,-0.07209637,3.4646712616158406,0,0.991851525105538,0.3016259935092809,0.5836689606941958,0.6753433909569824,0.4746356267574483,0.3737173974477015,0.28204296718491495,0.3016259935092809
0.1171,0.078,0.1114,0.1236,0.1842,0.2376,0.259,0.2934,0.2678,0.2886,0.2372,0.2002,0.40719423,-0.060594052,-0.36087206,-0.014476899,3.4148513080130942,0,0.9917658072774264,0.1691262238712161,0.3041733799971465,0.4243571017079544,0.2414250835932453,0.25523087783673826,0.1350471561259304,0.1691262238712161
0.08215,0.0712,0.09865,0.08265,0.118,0.2801,0.32185,0.3121,0.34695,0.31305,0.18715,0.1134,0.58125395,-0.2991949,-0.3096571,-0.17378655,3.4646712616158406,0,0.9913303882326192,0.2423979420526997,0.4359960880697323,0.5925258589283707,0.3680877926604659,0.350127916875671,0.19359814601703257,0.2423979420526997
0.1016,0.09938333,0.1263,0.1417,0.1751,0.225125,0.2472,0.26433334,0.26485,0.2783,0.23276667,0.17348333,0.30202776,-0.064473964,-0.29650944,0.014562782,3.4646712616158406,0,0.990983575949006,0.1276582244631995,0.2026741941331332,0.3280022700953945,0.165110582013876,0.20034404563219502,0.07501596966993371,0.1276582244631995
0.02945,0.03405,0.0532,0.0535,0.09415,0.18775,0.22545,0.2398,0.24305,0.24545,0.1743,0.10325,0.63518584,-0.16472983,-0.5323077,-0.091797076,3.4646712616158406,0,0.9906773093614945,0.3306818673370318,0.4030274051673955,0.6565896538733347,0.3495536693406053,0.32590778653630287,0.07234553783036368,0.3306818673370318
0.058310527,0.08052857,0.10117028,0.11681667,0.128675,0.17016,0.19016667,0.1985,0.20595,0.2139875,0.2201,0.19261667,0.25905174,0.033212047,-0.37018588,0.093982525,3.4646712616158406,0,0.9905356578117808,0.0905983495292026,0.1684356719090933,0.2767138086864343,0.1484146286724619,0.1861154591572317,0.07783732237989072,0.0905983495292026
0.044436365,0.029666666,0.0446625,0.04516923,0.0799,0.17615834,0.2090875,0.22055,0.23164,0.24505714,0.14325714,0.088057145,0.66002285,-0.23575228,-0.5246638,-0.14086692,3.4430104122233423,0,0.9901251012750776,0.3260586331377444,0.4424295947670375,0.6570703277402666,0.429049486001376,0.3310116946025222,0.11637096162929311,0.3260586331377444
0.09616667,0.1191,0.1374,0.15376666,0.1758,0.1883,0.19719,0.19345,0.2048,0.24313334,0.23783334,0.241975,0.11428986,0.074629135,-0.26765567,0.11226301,3.464671261615841,0,0.9900033318015634,0.0009443438515258,0.0388785619075495,0.121638036811334,0.0529519622580514,0.12069369295980821,0.0379342180560237,0.0009443438515258
0.0343625,0.04216,0.0605,0.07858333,0.1202,0.18725,0.211575,0.2081,0.23198333,0.22388,0.16135,0.112775,0.4517761,-0.17957628,-0.45458642,-0.021066545,3.46467126161584,0,0.9899624494693514,0.1932526941004267,0.3769495902598694,0.4836813678535458,0.2449497008181175,0.2904286737531191,0.1836968961594427,0.1932526941004267
0.1236,0.1282,0.1575,0.1764,0.21665,0.26235,0.2796,0.2851,0.29965,0.31425,0.3022,0.23925,0.2355363,0.0042368965,-0.3147705,0.07321447,3.4646712616158406,0,0.989807771239253,0.1108739269531501,0.1777720115407731,0.2159740629179161,0.1459857073310743,0.105100135964766,0.066898084587623,0.1108739269531501
0.13046,0.10318571,0.13183333,0.15093334,0.176875,0.2189,0.23653333,0.24876,0.257,0.29995716,0.2474,0.19443333,0.24475428,-0.019032512,-0.30473763,0.061827168,3.4473425821018417,0,0.989770266354326,0.1277260959407783,0.1876137090184195,0.225902046639094,0.1618232460215323,0.0981759506983157,0.059887613077641205,0.1277260959407783
0.0729,0.04855,0.0833,0.09165,0.1746,0.2384,0.26225,0.27565,0.2768,0.2652,0.25755,0.227,0.5009529,-0.03602509,-0.51122195,0.03712505,3.4646712616158406,0,0.9897350214605212,0.2467656023937856,0.3514154170441125,0.5063958419385108,0.3498571850655955,0.25963023954472525,0.10464981465032691,0.2467656023937856
0.0199,0.0207,0.0376,0.0299,0.0622,0.1824,0.2328,0.2309,0.2499,0.23,0.1121,0.0566,0.7707055,-0.38066298,-0.49766198,-0.27845532,3.4646712616158406,0,0.9897099189348908,0.3706178920559978,0.5497218275266968,0.7831638907079637,0.4730358143511748,0.41254599865196584,0.17910393547069903,0.3706178920559978
0.074766666,0.084,0.1112,0.147,0.16608,0.181825,0.19733334,0.19253333,0.21255,0.2064,0.278425,0.2686,0.13410562,0.13417181,-0.42919475,0.212109,3.555646829064334,0,0.9896029546785003,0.0498857768325468,0.12549256686718,0.1093824250220798,0.099783152355937,0.059496648189533,0.07560679003463319,0.0498857768325468
0.052366666,0.0758875,0.09581,0.1144,0.13353333,0.1862,0.20755,0.22775,0.227,0.227465,0.22595,0.17695,0.33128744,-0.0023181266,-0.40446293,0.05700809,3.46467126161584,0,0.989517165332166,0.135208794220063,0.2375568432391435,0.3290445630976007,0.2203507211076096,0.19383576887753773,0.10234804901908051,0.135208794220063
0.0308,0.03905,0.06555,0.057,0.1015,0.2099,0.2506,0.256,0.27685,0.2822,0.15265,0.0863,0.6357828,-0.28917342,-0.39917508,-0.16920945,3.4646712616158406,0,0.9895082660168874,0.3118415364377146,0.4736844341407419,0.6329628367731365,0.3468792185420211,0.32112130033542186,0.1618428977030273,0.3118415364377146
