B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.0387,0.0478,0.0695,0.0677,0.1001,0.1872,0.2031,0.224,0.2324,0.2281,0.1845,0.1364,0.5358245,3.4560069218588416,1,0.2211732365284888
0.0382,0.065,0.0954,0.1124,0.1299,0.175,0.1948,0.2126,0.207,0.1917,0.2508,0.1898,0.30830768,3.5773076784568323,1,0.1799078939982152
0.037,0.043,0.0578,0.0615,0.0941,0.141,0.157,0.169,0.1745,0.1674,0.2294,0.1661,0.46637744,3.5686433386998333,1,0.1470100374305371
0.04505,0.0479,0.0658,0.06865,0.10505,0.1643,0.17535,0.1946,0.2044,0.2236,0.21185,0.16135,0.47844255,3.5773076784568323,1,0.1217664975199908
0.0473,0.0531,0.077,0.0797,0.1141,0.1854,0.203,0.212,0.2261,0.2255,0.2094,0.1601,0.45354816,3.460339091737341,1,0.0988162074862455
0.0494,0.0556,0.0794,0.0778,0.1151,0.1974,0.2139,0.2162,0.2433,0.2318,0.2064,0.153,0.4707483,3.5231555549755864,1,0.0710886540148978
0.0505,0.0521,0.073,0.0744,0.1161,0.1776,0.1981,0.2006,0.2138,0.2145,0.2012,0.1545,0.4589091,3.4300139025878438,1,0.0366309427147599
0.05015,0.0479,0.0774,0.072,0.1257,0.22345,0.2423,0.2533,0.26375,0.2759,0.1908,0.1358,0.55733174,3.460339091737341,1,0.0333370165876232
0.0532,0.061,0.0812,0.0824,0.1158,0.2152,0.2369,0.2382,0.2541,0.2455,0.2056,0.1541,0.4859638,3.460339091737341,1,0.7124938902982055
0.0369,0.0412,0.0622,0.0497,0.0905,0.1835,0.2056,0.2156,0.2199,0.2312,0.1568,0.1095,0.6253298,3.4538408369195914,1,0.6916237462022703
0.0315,0.0346,0.0559,0.04505,0.08625,0.1912,0.21445,0.2505,0.2413,0.2449,0.16225,0.10145,0.69514465,3.460339091737341,1,0.6744845913176956
